deweyClass,bibNumber,title,DATE(cout),COUNT(bibNumber)
133.6,1648395,"encyclopedia of palmistry",2006-02-10,4
133.43,2230037,"libro de las sombras",2006-02-10,51
133.6,1306447,"practice of classical palmistry",2006-02-10,4
133.58332,2075115,"Business astrology weaving the web between business and myth",2006-02-10,17
133.6,1933111,"complete illustrated guide to palmistry",2006-02-10,27
133.59445,2206820,"How to practice Vedic astrology a beginners guide to casting your horoscope and predicting your future",2006-02-10,105
133.58306,1905690,"sibling constellation",2006-02-10,5
133.3337,1733217,"Home design from the inside out feng shui color therapy and self awareness",2006-02-11,3
133.03,2215424,"new encyclopedia of the occult",2006-02-11,71
137.7,18384,"Personality in handwriting the guiding image in graphology",2006-02-11,10
133.3,416767,"BÃ‚Â t trach minh canh Pa chai ming ching",2006-02-11,10
133.335,2136093,"Motivational numerology and how numbers affect your life introducing the wizards star",2006-02-12,30
133.91,1779875,"Mediumship a beginners guide",2006-02-12,9
133.89,1905898,"Dogs that know when their owners are coming home and other unexplained powers of animals",2006-02-12,114
133.532,1940953,"Moon signs picking the right time for everything you want to do",2006-02-12,10
133.54,503757,"Asteroid goddesses",2006-02-12,33
133.43091,2057967,"City magick urban rituals spells and shamanism",2006-02-12,81
136.716,49944,"Where did I come from The facts of life without any nonsense and with illustrations",2006-02-12,1
133.58306,2225350,"Love on a rotten day an astrological survival guide to romance",2006-02-12,51
133.44,2061540,"Amuletos y talismanes",2006-02-13,18
133.8,1757550,"Soul moments marvelous stories of synchronicity meaningful coincidences from a seemingly random world",2006-02-13,36
133.3337,1970506,"Feng shui for you and your cat",2006-02-13,30
133.9,2206174,"Looking beyond a teens guide to the spiritual world",2006-02-13,47
133.9013,1955780,"souls remembrance Earth is not our home",2006-02-13,51
133.12,1281174,Hauntings,2006-02-13,2
130,47246,"Masks of loneliness Alfred Adler in perspective",2006-02-13,1
138,1938508,"Darwins worms",2006-02-13,18
133.9013,1356857,"Beyond the light what isnt being said about the near death experience",2006-02-13,27
133.9013,1656752,"Near death experiences",2006-02-13,15
133.5,2002800,"Astrology through a psychics eyes",2006-02-13,11
133.10979,2323881,"Ghosts critters sacred places of Washington and Oregon III",2006-02-13,100
133.8,2169610,"seventh sense the secrets of remote viewing as told by a psychic spy for the U S military",2006-02-13,98
133.8,66742,"New world of the mind",2006-02-13,2
133.32424,2096610,"Tarot for a new generation",2006-02-13,9
133.5,1638983,"Tung Jens Chinese astrology",2006-02-14,1
133.8092,2333256,"But you knew that already what a psychic can teach you about life",2006-02-14,93
136.1,20136,"descent of woman",2006-02-14,16
133.43098,1738868,"witchs dream a healers way of knowledge",2006-02-14,2
133.9,1668609,"Hello from heaven a new field of research after death communication confirms that life and love are eternal",2006-02-14,5
133.91092,2303314,"Dont kiss them good bye",2006-02-15,26
133.32424,2136097,"secrets of the Tarot a guide to inner wisdom",2006-02-15,67
133.3092,2213314,"Nostradamus the illustrated prophecies",2006-02-15,61
131,520791,"Wheels of life a users guide to the Chakra system",2006-02-15,119
133.43,2258444,"Candle magic for beginners the simplest magic you can do",2006-02-15,29
133.2,1963353,"Light up your life with candles meditation and healing",2006-02-15,8
133.9013,2098987,"afterlife experiments breakthrough scientific evidence of life after death",2006-02-15,60
133.1,2033785,"Shadow world",2006-02-15,19
133.42,1863353,"field guide to demons fairies fallen angels and other subversive spirits",2006-02-15,11
133.9,2281132,"Angeles guardianes y guÃ‚Â¡as espirituales contacte su ayuda invisible",2006-02-15,34
133.93,1399146,"Marys message to the world as sent by Mary the mother of Jesus to her messenger Annie Kirkwood",2006-02-15,18
133.323,1918180,"Anyone can dowse for better health",2006-02-15,11
133.44,2163057,"10 minute magic spells conjure love luck and money in an instant",2006-02-15,33
131,2247530,"Soul signs an elemental guide to your spiritual destiny",2006-02-15,82
133.33,1703935,"Feng shui the Chinese art of design and placement",2006-02-15,32
131,328259,"How to keep mentally fit",2006-02-15,3
133.25538,2062671,"Chakra power beads tapping the power of energy stones to unlock your inner potential",2006-02-15,49
133.32424,2139556,"girls guide to tarot",2006-02-15,36
133.3337,1805346,"Practical feng shui the Chinese art of living in harmony with your surroundings",2006-02-16,42
133.03,1693059,"encyclopedia of the paranormal",2006-02-16,21
133,42439,"Beyond belief true tales of psychic phenomena",2006-02-16,2
133.43,2136086,"Llewellyns 2003 magical almanac",2006-02-16,5
138,2033577,"In your face what facial features reveal about the people you know and love",2006-02-16,27
133.95,1955922,"Astral dynamics a NEW approach to out of body experience",2006-02-16,21
133.58613,2227511,"Sextrology the astrology of sex and the sexes",2006-02-16,170
133.53,1671765,"Chiron rainbow bridge between the inner and outer planets",2006-02-16,24
136.716,708027,"story of a baby",2006-02-16,3
133.5,2074952,"Measuring the night evolutionary astrology and the keys to the soul",2006-02-16,10
133.5861,1853601,"Astrological timing of critical illness early warning patterns in the horoscope",2006-02-16,8
133.3337,1934997,"Nine star ki your astrological companion to Feng shui",2006-02-16,19
133.5,1689944,"Shi er sheng xiao",2006-02-16,24
133.50954,2006731,"Indian astrology",2006-02-16,134
133.335,2066762,"secret science of numerology the hidden meaning of numbers and letters",2006-02-17,40
135.4,2205672,"secret teachings of all ages an encyclopedic outline of Masonic Hermetic Qabbalistic and Rosicrucian symbolical philosophy being an interpretation of the secret teachings concealed within the rituals allegories and mysteries of the age",2006-02-17,337
133.6,2080747,"Palmistry quick easy",2006-02-17,36
133.3,2035653,"Dreaming the future the fantastic story of prediction",2006-02-17,39
133.10979,1902852,"Ghosts critters sacred places of Washington and Oregon",2006-02-17,11
133.33,1909465,"hidden truth of your name a complete guide to first names and what they say about the real you",2006-02-17,7
130,86274,"Dialogue with Erich Fromm",2006-02-17,6
133.3244,2136101,"Tea cup reading a quick and easy guide to tasseography",2006-02-18,76
135.3,1981453,"Dream decoder reveal your unconscious desires",2006-02-18,13
133.43,2057990,"Secrets of western sex magic mystical energy and gnostic trance",2006-02-18,30
133.43,2157775,"Praise to the moon magic myth of the lunar cycle",2006-02-18,26
130.92,2274351,"Small mediums at large the true tale of a family of psychics",2006-02-18,25
138.0951,1951968,"Na zhong mian xiang di nÃ‚Â ren bie cuo guo",2006-02-18,36
133.442,1969597,"Bewitchments love magick for modern romance",2006-02-18,5
133.43,1700953,"magicians companion a practical encyclopedic guide to magical religious symbolism",2006-02-18,8
133.9013,1951427,"After life survival of the soul",2006-02-18,18
133,1717703,"paranormal a guide to the unexplained",2006-02-18,29
133.43,2200645,"magickal life a wiccan priestess shares her secrets",2006-02-18,37
133.90135,1710743,"Past lives present dreams how to use reincarnation for personal growth",2006-02-18,17
130,12952,"structure and dynamics of the psyche",2006-02-19,69
133.3,2048059,"Five ways to know about you",2006-02-19,9
133.442,2121228,"magical guide to love sex",2006-02-19,14
133.43,2001224,"Sexual alchemy magical intercourse with spirits",2006-02-19,3
133.10973,1394062,"Haunted America",2006-02-19,13
133.3,2022983,"secrets of Nostradamus a radical new intepretation of the masters prophecies",2006-02-21,25
138,1950890,"Na zhong mian xiang di nan ren bie cuo guo shuai nan bu deng yu hao nan chou nan bu deng yu e nan",2006-02-21,39
133.43,2065870,"teen spell book magick for young witches",2006-02-21,104
133,1945769,"complete book of psychic arts divination practices from around the world",2006-02-21,21
133.43,2004553,"Magickal astrology understanding your place in the cosmos",2006-02-21,18
131,1294349,"sevenfold journey reclaiming mind body spirit through the chakras",2006-02-21,9
133.43,2247531,"If you want to be a witch a practical introduction to the craft",2006-02-21,32
133.8,2033870,"Psychic handbook",2006-02-21,37
133.5076,723839,"How to prepare and pass an astrologers certificate exam",2006-02-21,10
133.43,2150559,"Spellworking for covens magick for two or more",2006-02-21,8
133,2032646,"Science or pseudoscience magnetic healing psychic phenomena and other heterodoxies",2006-02-21,21
133.32424,2269425,"smart girls guide to tarot",2006-02-21,34
133.09515,2109666,"Occult Tibet secret practices of Himalayan magic",2006-02-21,18
133.8,2171343,"complete guide to psychic development 100 ways to tap into your psychic potential",2006-02-21,54
133.8,2205535,"medium the mystic and the physicist toward a general theoeory of the paranormal",2006-02-21,38
135.303,2251611,"Zolars encyclopedia and dictionary of dreams",2006-02-22,54
133.8,1756991,"Subtle energy awakening to the unseen forces in our lives",2006-02-22,12
133.58636,138986,"Cat sun signs",2006-02-22,1
133.8,172736,"Mental radio",2006-02-22,21
133.5,2148800,"Magi astrology the key to success in love and money",2006-02-22,4
133.5082,2055585,"Wemoon 00 Gaia rhythms for womyn Open",2006-02-22,1
133.32424,1362993,"Tarot book basic instruction for reading cards",2006-02-22,12
133.3,1979284,"literary book of answers",2006-02-22,1
133.93,1956860,"Heart links inspiring personal stories that explore our powerful ability to communicate with our lost loved ones",2006-02-22,18
133.10973,2151125,"Haunted heritage",2006-02-22,20
133.43,2335546,"Instant magick ancient wisdom modern spellcraft",2006-02-22,116
133.9,1694770,"journey home what near death experiences and mysticism teach us about the gift of life",2006-02-23,30
133.9013,2087591,"Guided tour to the afterlife the remarkable first hand account of one womans death and her adventures in a new life after death",2006-02-23,10
133.44,2174250,"Spells for sweet revenge",2006-02-23,9
133.5,1933112,"Doing time on planet Earth",2006-02-23,5
133.9013,943225,"Americans who have been reincarnated",2006-02-23,10
133.50835,2150107,"Teen astrology the ultimate guide to making your life your own",2006-02-23,17
133.3,2013672,"Prophets doom",2006-02-23,47
133.44,1936482,"Your book of shadows how to write your own magickal spells",2006-02-23,10
133.3242,2102918,"SoulCollage an intuitive collage process for individuals and groups",2006-02-23,128
133.91092,1846890,"One last time a psychic medium speaks to those we have loved and lost",2006-02-23,19
133.43,2161563,"Faery magick spells potions and lore from the earth spirits",2006-02-23,6
133.532,1963354,"Moon wise astrology self understanding and lunar energies",2006-02-23,7
131,1668871,Miracles,2006-02-24,2
133.4,507726,"Witchcraft for tomorrow",2006-02-24,13
133.8,1818492,"Psychic powers",2006-02-24,33
136.716,100301,"Did the sun shine before you were born",2006-02-24,6
133.8,150731,"Parapsychology frontier science of the mind a survey of the field the methods and the facts of ESP and PK research",2006-02-24,21
131,1839929,"Civilization and its discontents",2006-02-24,130
130,13042,"Psychological types",2006-02-24,57
133.10222,114240,"Ghosts in photographs the extraordinary story of spirit photography",2006-02-24,2
133.3242,2096004,"Sovremennoe gadanie na kartakh",2006-02-24,9
137.7,294037,"Reading character from handwriting",2006-02-24,4
133.10973,2071819,"Coast to coast ghosts true stories of hauntings across America",2006-02-24,28
133.3,2066433,"Bolshaia kniga gadanii",2006-02-24,5
138.0951,1929034,"Ming yun zai ni lian shang",2006-02-24,6
137,508615,"How to read handwriting",2006-02-24,14
133.10979,1773414,"Ghosts of the Southwest the phantom gunslinger and other real life hauntings",2006-02-25,34
133.10979,2002481,"Ghosts critters sacred places of Washington and Oregon II",2006-02-25,11
133.3337,2141819,"Phong thuy dÃ¢Â€Â¦nh cho doanh nghiep",2006-02-25,18
133.32424,1848610,"Understanding the tarot a personal teaching guide",2006-02-27,17
133.90136,1936472,"Past lives future choices the astrology of reincarnation",2006-02-27,3
133.43,1834183,"Book of shadows a modern womans journey into the wisdom of witchcraft and the magic of the goddess",2006-02-27,2
133.503,2200479,"astrology book the encyclopedia of heavenly influences",2006-02-27,57
133.93,1924591,"Friendship with God an uncommon dialogue",2006-02-27,15
133.43,2210793,"Caminos a la prosperidad",2006-02-27,23
131.32,32670,"At a journal workshop the basic text and guide for using the Intensive journal",2006-02-27,19
133.8092,1985003,"Edgar Cayce an American prophet",2006-02-28,50
133.52,1804603,"Sun moon signs",2006-02-28,23
133.4,1809209,"Scott Cunninghams Herb magic",2006-02-28,22
133.93,491765,"unobstructed universe",2006-02-28,23
133.4309,1918577,"Witches and witch hunts",2006-02-28,94
137,5860,"psychology of self esteem a new concept of mans psychological nature",2006-02-28,32
133.43,2123559,"Herbal magick a witchs guide to herbal folklore and enchantments",2006-03-01,28
132.1,13488,"psychology of melancholy",2006-03-01,14
131.32,31983,"Psychotherapy the hazardous cure",2006-03-01,4
133.80924,378829,"Many happy returns the lives of Edgar Cayce",2006-03-01,20
133.43,2125569,"cyber spellbook magick in the virtual world",2006-03-01,18
133.43,2182845,"10 spiritual steps to a magical life meditations affirmations for personal growth happiness",2006-03-01,35
132.1,76069,"betrayal of the body",2006-03-01,12
133.43,2111653,"Green magic the sacred connection to nature",2006-03-01,25
133.44,2215407,"alphabet of spells",2006-03-01,21
133.3,2136095,"Read your future the ultimate guide to tarot astrology the I Ching and other divination techniques from around the world",2006-03-01,45
133.3337,2090053,"Lillian Toos feng shui year 2002 the book of auspicious days",2006-03-01,6
133.43,1879821,"Green witchcraft II balancing light shadow",2006-03-01,19
133.58646,2235100,"love relationship formula predicting romantic success with astrology",2006-03-01,54
133.5,1935826,"Astrology for dummies",2006-03-01,18
133.43,2185721,"Elements of witchcraft natural magick for teens",2006-03-01,83
133.9,2097216,"Spirit allies meet your team from the other side",2006-03-01,20
133.3,1809082,FutureTelling,2006-03-01,18
133,61875,"Galaxies of life the human aura in acupuncture and Kirlian photography",2006-03-02,23
133.3092,1998320,"PK man a true story of mind over matter",2006-03-02,12
133.9092,1899010,"mensaje del chamÃ‚Â n",2006-03-02,2
133.33,1975184,"Tao of birth days using the I ching to become who you were born to be",2006-03-02,53
133.43,2157774,"inner temple of witchcraft magick meditation and psychic development",2006-03-02,2
133.43,1297494,"To ride a silver broomstick new generation witchcraft",2006-03-02,17
133.3,1919032,"book of divination",2006-03-02,10
133.9013,1754841,"eternal journey how near death experiences illuminate our earthly lives",2006-03-02,25
133.44,2204296,"real witches book of spells and rituals",2006-03-02,45
133.44,2085192,"Magiia 4 magiia na kazhdyi den",2006-03-03,7
138,1375731,"naked face the essential guide to reading faces",2006-03-03,27
135.47,2051313,"Magic of Qabalah visions of the tree of life",2006-03-03,13
136.72,702728,"Piagets theory of intellectual development an introduction",2006-03-03,4
133.503,1374284,"astrology encyclopedia",2006-03-03,4
133.10979,1897768,"Ghosts of the west coast the lost souls of the Queen Mary and other real life hauntings",2006-03-03,52
131.32,88262,"Im OK youre OK a practical guide to transactional analysis",2006-03-04,39
130,737224,"Transference and trial adaptation",2006-03-04,5
133.43,2063755,"Candle magick divination good luck good fortune",2006-03-04,16
133.9013,1320103,"Dying to live near death experiences",2006-03-04,26
133.9,2144839,"Blessings from the other side wisdom and comfort from the afterlife for this life",2006-03-04,10
133.335,2055418,"Initiation into numerology a practical guide for reading your own numbers",2006-03-04,44
133.95,2163058,"Astral projection plain simple the out of body experience",2006-03-04,20
133.58306,2093326,"How to spot a bastard by his star sign the ultimate horrorscope",2006-03-04,36
133.95,2146398,"Stargate chronicles memoirs of a psychic spy",2006-03-04,75
133,1292665,"True hallucinations being an account of the authors extraordinary adventures in the devils paradise",2006-03-05,6
131.33,23032,"Someone you love is dying a guide for helping and coping",2006-03-05,2
133.6,1937575,"Love and sexuality through palmistry playing the love game",2006-03-05,2
133.9,2167810,"Everything happens for a reason love free will and the lessons of the soul",2006-03-05,67
133.442,2088861,"Enchantments of the heart a magical guide to finding the love of your life",2006-03-05,16
133.93,2004551,"Heaven help me a celestial guide to healing",2006-03-06,10
133.43,1969598,"Candle magic a coveted collection of spells rituals magical paradigms",2006-03-06,22
133.43,2210794,"SÃ‚Â¢lo prenda una vela",2006-03-06,28
133,114176,"Gods and beasts the Nazis and the occult",2006-03-06,40
133,513888,"Going within a guide for inner transformation",2006-03-06,14
133.33,1854446,"I Ching for beginners",2006-03-06,15
133.43097,1597018,"war of witches a journey into the underworld of the contemporary Aztecs",2006-03-06,5
133.59445,2066231,"art and practice of ancient Hindu astrology nine intimate sessions between teacher and student",2006-03-06,27
133.9013,1966127,"Memory of elsewhere",2006-03-06,9
133.5,1596641,"AstrologÃ‚Â¡a espiritual",2006-03-06,18
133.33,2118893,"Dragon insights a simple approach to the I Ching",2006-03-06,20
133.5,1648256,"Cat and Rat the legend of the Chinese zodiac",2006-03-07,100
133.43094,1886641,"Finnish magic a nation of wizards a world of spirits",2006-03-07,7
133.9013,1362922,"search for Grace a documented case of murder and reincarnation",2006-03-07,5
133.10973,2185223,"haunting of the presidents a paranormal history of the U S presidency",2006-03-07,21
137,54458,"Personality and national character",2006-03-07,6
133.9,1753555,"Working with your guides and angels",2006-03-07,34
133.9013,1847637,"Lessons from the light what we can learn from the near death experience",2006-03-07,95
135,66042,"interpretation of dreams",2006-03-07,126
136.72,46382,"childs eye view",2006-03-08,3
133.93,1959594,"Dreams evolution and value fulfillment",2006-03-08,2
138.0951,2099314,"Leer el rostro el milenario arte chino para descubrir quÃ¢Â€Âš revelan los rasgos de la cara",2006-03-08,14
133.9,2270974,"Viajes psÃ‚Â¡quicos",2006-03-08,7
133.58646,2043682,"signos del zodÃ‚Â¡aco y las relaciones personales",2006-03-08,9
133.9013,606947,"Closer to the light learning from childrens near death experiences",2006-03-08,33
133.4,1339807,"witches way principles rituals and beliefs of modern witchcraft",2006-03-08,41
133.3,1584665,"complete prophecies of Nostradamus",2006-03-09,3
133.8,1714702,"Your sixth sense activating your psychic potential",2006-03-09,52
133.32424,1919055,"Tarot and the millennium the story of whos on the cards and why",2006-03-09,1
133.93,2338256,"amazing power of deliberate intent living the art of allowing",2006-03-09,316
133.9013,2094346,"As I lay dying",2006-03-09,53
133.55,1725098,"centaur pholus",2006-03-09,2
133.5,1837494,"Signs of mental illness",2006-03-09,4
133.56467,1879825,"When planets promise love your romantic destiny through astrology",2006-03-09,2
133.43,2164624,"Where to park your broomstick a teens guide to witchcraft",2006-03-09,68
133.32424,2073377,"tarot spellcaster over 40 spells to enhance your life with the power of tarot magic",2006-03-09,11
133,506972,"Behaving as if the God in all life mattered a new age ecology",2006-03-09,1
133.89,1819210,"Psychic pets supernatural true stories of paranormal animals",2006-03-10,5
133.43097,1710111,"In the days of the Salem witchcraft trials",2006-03-10,14
133.32424,2227465,"Putting the tarot to work creative problem solving effective decision making and presonal carrer planning",2006-03-10,42
133,2065869,"Real life X files investigating the paranormal",2006-03-11,25
133.3337,1967275,"Feng shui para la casa",2006-03-11,8
133.323,1918181,"complete book of dowsing the definitive guide to finding underground water",2006-03-11,27
133.3337,1787197,"modern book of feng shui vitality and harmony for the home and office",2006-03-11,11
133.44,1839230,"verdad sobre la magia de las hierbas",2006-03-11,9
133.9013,2075789,"uttermost deep the challenge of near death experiences",2006-03-11,6
133.9013,552014,"Closer to the light learning from childrens near death experiences",2006-03-11,42
133.90113,1387327,"Saved by the light the true story of a man who died twice and the profound revelations he received",2006-03-11,33
133.9,1925928,"Messages and miracles extraordinary experiences of the bereaved",2006-03-11,7
133.32424,2182846,"Designing your own tarot spreads",2006-03-11,22
133.43,2210987,"Polarity magic the secret history of western religion",2006-03-11,23
133.9013,1289815,"Embraced by the light",2006-03-12,75
133.1,1840365,"Ghosts true encounters with the world beyond",2006-03-12,5
133.3092,2061201,"Novaia rasshifrovka predskazanii Nostradamusa na osnove samykh sovremennykh kompiuternykh tekhnologii",2006-03-12,37
133.53,1753549,"Psychology of the planets",2006-03-12,18
133.30924,455986,"Nostradamus the millennium predictions of the future",2006-03-12,21
133.8,2061539,"Desarrolle sus poderes psÃ‚Â¡quicos",2006-03-13,21
133.44,2340383,"goodly spellbook olde spells for modern problems",2006-03-13,47
131.32,37431,"Your inner conflicts how to solve them",2006-03-13,4
135.3,2108522,"Khoa hoc voi nhung giac mo",2006-03-13,17
131,1804164,"Choices of love",2006-03-13,5
131,735228,"mind cure",2006-03-13,1
133.509,2120910,"Astrology a history",2006-03-13,24
133.32424,1714864,"wicked pack of cards the origins of the occult tarot",2006-03-14,14
133.902,1828343,"Medicinemaker mystic encounters on the Shamans path",2006-03-14,26
136.76,68446,"Group psychotherapy with children the theory and practice of play therapy",2006-03-14,30
133.43,1937468,"Wiccan warrior walking a spiritual path in a sometimes hostile world",2006-03-14,16
136.76,183326,"Children in play therapy a key to understanding normal and disturbed emotions",2006-03-14,16
130,66092,"Neurosis and human growth the struggle toward selfrealization",2006-03-14,35
136.76,750262,"Child treatment and the therapy of play",2006-03-14,6
133.9013,1897609,"Return to Millboro the reincarnation drama continues",2006-03-14,10
133.1,1713581,"Ghostly warnings",2006-03-15,16
133.9,195603,"Betty book excursions into the world of other consciousness",2006-03-15,18
133.5,2090070,"Stepping into the Aquarian age a guidebook for the new evolutionary cycle",2006-03-15,6
133.5277,2043686,"signos del zodÃ‚Â¡aco y el amor Piscis",2006-03-15,3
133,1994205,"power of belief",2006-03-15,1
133.93,1994243,"My first encounter with an angel revelations of ancient wisdom",2006-03-15,10
137,583159,"Handwriting analysis made easy quickly discover personality and behavior traits personally and professionally",2006-03-15,97
133.86,1617649,"Tribulation the coming Earth changes",2006-03-15,1
133.90113,1345997,"Saved by the light the true story of a man who died twice and the profound revelations he received",2006-03-16,17
133.43019,1298930,"Modern witchcraft and psychoanalysis",2006-03-16,1
133.8,1744513,"There are no accidents synchronicity and the stories of our lives",2006-03-16,39
133.25538,2030059,"Gems of the seven color rays a comprehensive guide to healing with gems",2006-03-16,12
133.32424,1933115,"complete illustrated guide to tarot",2006-03-16,13
133.3,460226,"Telling fortunes love magic dream signs and other ways to learn the future",2006-03-17,8
133.32424,1593214,"Tarot for every day ideas and activities for bringing tarot wisdom into your daily life",2006-03-17,26
133.80922,1957048,"Lives of the psychics the shared worlds of science and mysticism",2006-03-17,2
133.8,1607415,"Alternative realities the paranormal the mystic and the transcendent in human experience",2006-03-17,7
135.45,1992165,"sacred tradition in ancient Egypt the esoteric wisdom revealed",2006-03-17,13
133.43,2227474,"Wicca herbal recipes magick and abundance",2006-03-18,36
133.3337,1838489,"Feng Shui strategies for business success with personalized astrological charts",2006-03-18,9
133.5925,1917005,"Can chi thÃ¢Â€Âœng luan",2006-03-18,14
133.5925,1753553,"Eastern systems for Western astrologers an anthology",2006-03-19,15
131.32,89424,"Notes of a feminist therapist",2006-03-19,4
133.93,1823922,"Soul love awakening your heart centers",2006-03-19,46
133.3337,2066759,"Journey to mastery feng shui for life",2006-03-19,8
133.335,2204282,"complete book of numbers the power of number symbols to shape reality",2006-03-20,47
133.54,1355597,"Llewellyns sun sign book",2006-03-20,52
130,126460,"Listening with the third ear the inner experience of a psychoanalyst",2006-03-20,18
133.8,1590865,"psychic pathway a workbook for reawakening the voice of your soul",2006-03-20,126
131,2033871,"training work of an initiate",2006-03-21,46
133.4309,2143262,"witchcraft reader",2006-03-21,20
133,1969601,"esoteric philosophy of love and marriage",2006-03-21,26
133.43,1905712,"Wishing well empowering your hopes and dreams",2006-03-21,4
135,2033868,"Esoteric orders and their work",2006-03-21,9
133.5,1758796,"Astrology for the soul",2006-03-21,307
133.6,1725275,"Palmistry how to discover success love happiness",2006-03-21,11
133.91092,2341827,"Sign of the dove MaryRoses messages from the other side",2006-03-22,52
133.3,2033867,"Comet of Nostradamus August 2004 impact",2006-03-22,6
133.43,1966554,Witchcraft,2006-03-22,3
133.9092,2132244,"Spiritwalker messages from the future",2006-03-22,48
133.9,1726451,"Twelve lessons in personal spirituality",2006-03-22,1
133.32424,2030906,"Choice centered relating and the tarot",2006-03-22,20
133,1676216,"Intimates through time",2006-03-23,3
138.0951,1829988,"Face reading",2006-03-23,3
133,488517,"new age notes of a fringe watcher",2006-03-23,8
137,407033,"Graphology handbook",2006-03-23,28
137.7,112126,"Knowing your child through his handwriting and drawings",2006-03-23,3
133.10973,2066248,"Ghost investigating the other side",2006-03-23,7
133,1891323,"Weird science an expert explains ghosts voodoo the UFO conspiracy and other paranormal phenomena",2006-03-23,5
133.90135,2117982,"Practical guide to past life memories twelve proven methods",2006-03-24,51
133,1798387,"Paranormal phenomena opposing viewpoints",2006-03-24,13
136.7,37048,"Gesell and Amatrudas Developmental diagnosis the evaluation and management of normal and abnormal neuropsychologic development in infancy and early childhood",2006-03-24,5
135.3,559709,"Why do we dream",2006-03-24,2
133.9013,1973275,"soul of your pet evidence for the survival of animals after death",2006-03-24,13
135,72349,Sleep,2006-03-24,9
133,1678458,"Mysteries of the supernatural",2006-03-24,14
131.33,8639,"Peace from nervous suffering",2006-03-24,5
133,42811,"Unpopular science an unnatural book about natural phenomena",2006-03-25,4
133.3,1714028,"Fortune telling",2006-03-25,6
133.072,1315056,"Missing pieces how to investigate ghosts UFOs psychics other mysteries",2006-03-25,16
133.43094,1901691,"Hereditary witchcraft secrets of the old religion drawn from old family texts and oral teachings",2006-03-25,2
133.8,2206239,"lightbearer a true story of love death and lessons learned on the other side",2006-03-25,15
133.53,728077,"Astrodynes astrological power harmony",2006-03-25,5
133.9013,1931381,"Signals an inspriing story of life after life",2006-03-25,46
133.335,1945025,"Numerology for beginners easy guide to love money destiny",2006-03-25,40
133.8,2144993,"Everyday karma",2006-03-25,34
132.1,367167,"Sanity madness and the family",2006-03-25,35
133,471351,"Crystal healing applying the therapeutic properties of crystals and stones",2006-03-26,18
133.335,1396319,"Numerology your character and future revealed in numbers",2006-03-26,11
133.53,1383044,"house connection how to read the houses in an astrological chart",2006-03-26,21
133.3,1899419,"They saw the future oracles psychics scientists great thinkers and pretty good guessers",2006-03-26,45
133.1,574958,"Great ghosts",2006-03-26,22
131.32,67981,"Transactional analysis in psychotherapy a systematic individual and social psychiatry",2006-03-26,13
133.1,1304544,"Ghosts of the deep",2006-03-26,11
133.9013,1779480,"Shogen rinshi taiken",2006-03-26,20
133.10976,1926394,"New Orleans ghosts",2006-03-26,2
133.1,566134,"fact or fiction files Ghosts",2006-03-27,3
133.43,1955923,"Green witchcraft III the manual",2006-03-27,28
136.716,707572,"Where do babies come from",2006-03-27,6
133.43,2181480,"veils edge exploring the boundaries of magic",2006-03-27,40
133.43086,2186953,"Gay witchcraft empowering the tribe",2006-03-27,2
133.12974,2057988,"Graves End a true ghost story",2006-03-27,28
133.8,2010,"Window to the past exploring history through ESP",2006-03-27,7
133.1,491395,Ghosts,2006-03-28,8
133.32424,2088700,Tarot,2006-03-28,29
131,221435,"seven steps of mans creation based on Thomas Trowards works on mental science",2006-03-28,22
133.583,258325,"Astrology Moray series no 2 wars in the sidereal",2006-03-28,9
133,2286661,"Maria Shaws star gazer your soul searching dream seeking make something happen guide to the future",2006-03-28,97
133.91,1865676,"Reaching to heaven a spiritual journey through life and death",2006-03-28,76
136.78,284888,"Without the chrysanthemum and the sword a study of the attitudes of youth in post war Japan",2006-03-29,2
133.5,1609739,"Secrets of Chinese astrology a handbook for self discovery",2006-03-29,17
133.90135,1715894,"Childrens past lives how past life memories affect your child",2006-03-30,51
130,27978,"Freud and the Americans the beginnings of psychoanalysis in the United States 1876 1917",2006-03-30,1
133.103,1997776,"encyclopedia of ghosts and spirits",2006-03-30,13
133.333,2115534,"Penguin guide to vaastu the classical Indian science of architecture and design",2006-03-30,27
133.3092,2062257,"profecÃ‚Â¡as de Nostradamus para mujeres",2006-03-30,9
131,414727,"Psychological exercises essays",2006-03-31,14
136.76,31135,"Psychotherapeutic approaches to the resistant child",2006-03-31,3
131.32,41920,"Every day gets a little closer a twice told therapy",2006-03-31,55
133.4303,1775764,"Wizards and sorcerers from abracadabra to zoroaster",2006-04-01,12
133.93,2191725,"Messages from your angels",2006-04-02,44
131.33,88838,"Death as a fact of life",2006-04-02,1
133.43094,1919646,"Witches neighbors the social and cultural context of European witchcraft",2006-04-02,17
130,788094,"New ways in psychoanalysis",2006-04-02,12
133.9013,705626,"Twenty cases suggestive of reincarnation",2006-04-02,86
133.91092,1894765,"Confessions of an intergalactic anthropologist",2006-04-03,9
133.44,2256083,"complete idiots guide to spells and spellcraft",2006-04-03,30
137,708227,"On being a real person",2006-04-03,25
136.53,82932,"These vintage years",2006-04-04,5
136.78,703914,"Youth against the world",2006-04-04,2
133.335,2179939,"Numerology the power in numbers",2006-04-04,10
133.3,1925243,"Mo tung cÃ‚Â nh cua huyen vi",2006-04-05,15
133.43,2000054,"libro completo de magia hechizos y ceremonias",2006-04-05,18
133.335,533212,"Numerology has your number",2006-04-06,7
