deweyClass,bibNumber,title,DATE(cout),COUNT(bibNumber)
136.716,968724,"How babies are made",2006-01-04,8
133,91146,"Findhorn garden",2006-01-04,29
133.3337,1925717,"Essential feng shui a step by step guide to enhancing your relationships health and prosperity",2006-01-04,27
133.3337,2061545,"Feng shui para el Ã¢Â€Âšxito y la felicidad",2006-01-04,20
133.9,2065264,"Crossing over the stories behind the stories",2006-01-04,41
133.333,1666936,"Feng shui the ancient wisdom of harmonious living for modern times",2006-01-04,45
133.43,1597027,"pilgrimage a contemporary quest for ancient wisdom",2006-01-04,93
133.43097,2141375,"Salem witch trials a day by day chronicle of a community under siege",2006-01-04,69
133.5,1828388,"Discovering your soul mission how to use karmic astrology to create the life you want",2006-01-04,8
133.3337,1869943,"Feng shui for love romance",2006-01-04,26
133.8,2250957,"psychic in you understand and harness your natural psychic power",2006-01-04,107
137.7,62455,"Handwriting revelation of self a source book of psychographology",2006-01-04,4
133.33,1845857,"Feng shui creating sacred space in your garden or landscape",2006-01-04,99
133.3092,2104207,"Nostradamus the new millennium",2006-01-04,17
133.93,1917385,"Friendship with God an uncommon dialogue",2006-01-05,25
133.82,2176957,"Sonya Fitzpatrick the pet psychic what the animals tell me",2006-01-05,58
133.6,2057951,"complete book of palmistry includes secrets of Indian thumb reading",2006-01-05,52
133.43,2249983,"witchs shield protection magick psychic self defence",2006-01-05,45
137.7,187815,"Pen in hand a simplified guide to instant handwriting analysis",2006-01-05,8
131,2076857,"Breakthrough intuition how to achieve a life of abundance by listening to the voice within",2006-01-05,15
131.32,1825648,"function of the orgasm sex economic problems of biological energy",2006-01-05,33
133.95,2112118,"Voyages into the unknown",2006-01-05,17
133.8,1714027,ESP,2006-01-05,16
133.6,2163356,Palmistry,2006-01-05,21
133.43,2236738,"recovery spiral a pagan path to healing",2006-01-05,45
133.8,2173101,"Psychic warrior",2006-01-05,13
131,2150558,"Expanding the understanding of chakras",2006-01-05,40
133.6,2205865,"Karmic palmistry explore past lives soul mates karma",2006-01-05,63
133.93,2305452,"Ask and it is given learning to manifest your desires",2006-01-05,686
133.1072,2212772,"EspÃ‚Â¡ritus y fantasmas cÃ‚Â¢mo investigar evidencias paranormales",2006-01-05,18
133.59251,1963355,"Simple Chinese astrology",2006-01-05,66
133.409,2100319,"Demon lovers witchcraft sex and the crisis of belief",2006-01-05,13
133.8088,200386,"Mother wit a feminist guide to psychic development",2006-01-05,4
133,1614972,"Ecstatic body postures an alternate reality workbook",2006-01-05,47
133.8,1980263,"ESP power your absolute quintessential all you wanted to know complete guide",2006-01-05,27
133.58929,1925931,"Is your name lucky for you",2006-01-05,3
133.42,134642,"Amityville horror",2006-01-05,12
133.50951,1886122,"new Chinese astrology",2006-01-05,10
133.9,1663404,"Spirit summonings",2006-01-05,13
133.43,2065873,"Witchcrafting a spiritual guide to making magic",2006-01-05,72
133.33,2174968,"book of runes read the secrets in the language of the stones",2006-01-05,163
133.8,2199042,"Unleashing your psychic potential",2006-01-05,85
133,2317304,"Linda Goodmans star signs the secret codes of the universe forgotten rainbows and forgotten melodies of ancient wisdom",2006-01-05,84
133.8,2249345,"Trust your vibes secret tools for six sensory living",2006-01-05,126
133.9,1032172,"Uncataloged Adult book",2006-01-05,3
132.1,32731,"R D Laing the man and his ideas",2006-01-06,8
133.335,2204287,"Exploring numerology life by the numbers",2006-01-06,85
136.711,187367,"Teen agers ask more questions",2006-01-06,2
133.43094,1934295,"triumph of the moon a history of modern pagan witchcraft",2006-01-06,15
133.3337,2003912,"Feng Shui for dummies",2006-01-06,138
133.3,2270977,"Adivinaciones y profecias",2006-01-06,7
133.335,2163978,"Colors numbers your personal guide to positive vibrations in daily life",2006-01-06,83
133.43,2296779,"Postmodern magic the art of magic in the information age",2006-01-06,23
133.43097,2245819,"Salem witch trials",2006-01-06,59
131.33,44982,"denial of death",2006-01-06,16
133.10973,382598,"Americas very own ghosts",2006-01-06,5
131,1936488,"Your personality your health connecting personality with the human energy system chakras and wellness",2006-01-06,30
130,250976,"Suicide and the soul",2006-01-06,24
133.93,1933893,"God creation and tools for life",2006-01-06,47
133.3242,2157773,"Playing card divination for beginners fortune telling with ordinary cards",2006-01-06,10
133.44,558406,"complete book of incense oils brews",2006-01-06,51
133.42,2286062,"field guide to demons fairies fallen angels and other subversive spirits",2006-01-06,60
133.9013,2297763,"search for heaven",2006-01-06,251
133.9013,2318027,"Only love is real a story of soulmates reunited",2006-01-06,201
133.93,1324005,"Animal speak the spiritual magical powers of creatures great small",2006-01-06,236
138,2144564,"Guan xiang shi nan ren",2006-01-06,64
133.44,2271386,"Element encylopedia of 5000 spells",2006-01-06,39
133.333,1673636,"Feng shui environments of power a study of Chinese architecture",2006-01-06,27
133.8,2270954,"Poderes psÃ‚Â¡quicos",2006-01-06,6
133.53,585198,"gods of change pain crisis and the transits of Uranus Neptune and Pluto",2006-01-07,26
133.44,1841748,"Goddess in my pocket simple spells charms potions and chants to get you everything you want",2006-01-07,40
131,2199043,"You can heal your life",2006-01-07,277
133.3337,2210685,"Teen feng shui design your space design your life",2006-01-07,97
133.43,2210639,"magick of Aleister Crowley a handbook of the rituals of Thelema",2006-01-07,26
133.43,2187216,"Earth magic a book of shadows for positive witches",2006-01-07,20
133.3,1903641,"Sam kÃƒÂ¬ vÃ¢Â€Â¦ giÃ‚Â ng bÃ‚Â£t voi Viet Nam 1925 2025",2006-01-07,7
131.33,36721,"Living your dying",2006-01-07,5
133.3337,1984877,"Lillian Toos practical feng shui symbols of good fortune",2006-01-07,109
133.12209,2038923,"Castle ghosts of Ireland",2006-01-07,81
131,1383068,"You can heal your life",2006-01-07,12
133.3337,2076637,"Xuan wu zu wu bi dong de Feng shui common sense chu wai ren bi bei de 50 ge feng shui hu shen chang shi",2006-01-07,98
133.335,2204285,"everything numerology book discover your potential for love success and health through the science of numbers",2006-01-07,28
133.423,2174238,"Vampires the occult truth",2006-01-07,29
133.44,2161626,"Cunninghams encyclopedia of wicca in the kitchen",2006-01-07,39
136.7,136571,"Secret of childhood",2006-01-07,46
133,1618571,"valkyries an encounter with angels",2006-01-07,14
133.9,1711257,"Love beyond life the healing power of after death communications",2006-01-07,15
133,728202,"theoretic arithmetic of the Pythagoreans",2006-01-07,11
133.93,1755367,"messengers a true story of angelic presence and the return to the age of miracles",2006-01-07,19
133.43,1969531,"Teen witch Wicca for a new generation",2006-01-07,86
133,474630,"Beyond supernature a new natural history of the supernatural",2006-01-07,8
133.43097,2215561,"Witch hunt mysteries of the Salem witch trials",2006-01-07,193
136.7,73357,"absorbent mind",2006-01-07,12
133.3337,2209541,"yin yang of love feng shui for relationships",2006-01-07,71
133,2047843,"House magic the good witchs guide to bringing grace to your space",2006-01-07,104
133.333,2107493,"power of vastu living welcoming your soul into your home and workplace",2006-01-07,62
133.5,2176462,"Intuitive astrology follow your best instincts to become who you always intended to be",2006-01-07,72
133.1,1914879,"Elvis speaks from the beyond and other celebrity ghost stories",2006-01-07,17
133.43097,2278422,"Salem witch trials an unsolved mystery from history",2006-01-07,117
136.7,297509,"secret of childhood",2006-01-07,13
131,1803427,"purpose of your life finding your place in the world using synchronicity intuition and uncommon sense",2006-01-07,102
133.8,2013688,"Secrets of the psychics",2006-01-07,134
133.333,1615764,"Feng Shui handbook how to create a healthier living and working environment",2006-01-07,38
131,1847660,"wisdom of Florence Scovel Shinn",2006-01-08,47
133.91,1975854,"Channelling what it is and how to do it",2006-01-08,24
133.3337,1976648,"Feng shui for modern living bring harmony health wealth and happiness into your life",2006-01-08,104
133.5,2186101,"Mapping your birthchart understanding your needs potential",2006-01-08,18
133.43,2287625,"Everyday moon magic spells rituals for abundant living",2006-01-08,74
133.91092,2167806,"Born knowing a mediums journey accepting and embracing my spiritual gifts",2006-01-08,56
130,116210,"spirit in man art and literature",2006-01-08,51
133.5,2298542,"Electional astrology the art of timing",2006-01-08,21
133.44,2059377,"witch and wizard training guide",2006-01-08,14
133.9013,2005912,"Beyond the grave the afterlife",2006-01-08,50
133.5,2324301,"Personology the precision approach to charting your life career and relationships",2006-01-08,47
133.3337,2314773,"Dorm room feng shui find your gua free your chi",2006-01-08,95
133.5,2168048,"Born on a rotten day illuminating the dark side of the zodiac",2006-01-08,62
133.892,2200204,"Change your aura change your life a step by step guide to unfolding your spiritual power",2006-01-08,36
133.5,2117757,"Secrets of the signs",2006-01-08,10
133.333,1670629,"western guide to feng shui creating balance harmony and prosperity in your environment",2006-01-08,103
133.5891,1926477,"Astrolocality astrology a guide to what it is and how to use it",2006-01-08,16
131,111815,"parenthesis in eternity",2006-01-09,3
133.333,2275466,"Jia ju yu feng shui Home and feng shui",2006-01-09,368
133.43,1804499,Witches,2006-01-09,20
133.3337,1714274,"Creating sacred space with Feng Shui",2006-01-09,280
133.84092,1664009,"Second sight",2006-01-09,31
130,52973,"Wilhelm Reich the evolution of his work",2006-01-09,1
133.333,1644819,"Feng shui arranging your home to change your life",2006-01-09,32
133.9,2147302,"Crossing over the stories behind the stories",2006-01-09,47
133,2168014,"Paranormal phenomena opposing viewpoints",2006-01-09,62
136.1,49021,"Sexism and youth",2006-01-09,3
133.3337,1871550,"101 feng shui tips for the home",2006-01-09,70
133.3337,1937058,"Move your stuff change your life how to use feng shui to get love money respect and happiness",2006-01-09,303
133.3337,1906353,"Home design with feng shui A Z",2006-01-09,28
133.43,804876,"Witchcraft today",2006-01-09,9
133.54042,2222152,"secret language of birthdays personology profiles for each day of the year",2006-01-09,338
133,1883691,"Whats so super about the supernatural",2006-01-09,21
133.3337,2316568,"way of vastu creating prosperity through the power of the Vedas achieve success through Indian feng shui",2006-01-09,87
133.537,2030886,"Saturn in transit boundaries of mind body and soul",2006-01-09,41
133.58158,2093330,"power of attraction the astrological guide to personal success prosperity and happy relationships",2006-01-09,12
133.9,2088679,"Miracles in the storm talking to the other side with the new technology of spiritual contact",2006-01-09,11
136.76,5207,"Attachment and loss",2006-01-09,177
133.1,1776509,Ghosts,2006-01-09,26
135.47,2096888,"beginners guide to the Kabbalah",2006-01-09,75
133.54,1935296,"How to read your astrological chart aspects of the cosmic puzzle",2006-01-09,9
133.10973,2136690,"Hauntings horrors the ultimate guide to spooky America",2006-01-09,35
133.337,1864923,"Clear your clutter with feng shui",2006-01-09,546
131,565755,"Creating money keys to abundance",2006-01-09,72
133.93,2004554,"Souls perfection",2006-01-09,46
131,2001226,"How to get everything you ever wanted complete guide to using your psychic common sense",2006-01-10,22
131,2033866,"Chakras auras and the new spirituality a complete guide to opening the seven senses",2006-01-10,19
133.43,1969636,"Shaman in a 9 to 5 world",2006-01-10,53
133.9,1936471,"Edgar Cayce on the Akashic records the book of life",2006-01-10,22
136.52,19286,"Passages predictable crises of adult life",2006-01-10,67
133.3337,1689854,"Feng shui step by step arranging your home for health and happiness with personalized astrological charts",2006-01-10,44
133,2211600,"Book of lies the disinformation guide to magick and the occult being an alchemical formula to rip a hole in the fabric of reality",2006-01-10,64
133.9013,536572,"Intimates through time Edgar Cayces mysteries of reincarnation",2006-01-10,26
133.3337,2020548,"complete idiots guide to feng shui",2006-01-10,10
131.0835,2217198,"Teen psychic exploring your intuitive spiritual powers",2006-01-10,87
133.3337,2084238,"Ru guo fang zi zhu man le neng liang 41 zhao gai shan ju jia feng shui de jian kang chu fang Creating a full energy home",2006-01-10,106
136.53,94820,"good age",2006-01-10,5
133.8,404658,"Flim flam psychics ESP unicorns and other delusions",2006-01-10,104
133.9013,2297839,"Animals on the other side",2006-01-10,88
133.5,2223465,"secrets of the vaulted sky astrology and the art of prediction",2006-01-10,88
133.4303,2002641,"Encyclopedia of Wicca witchcraft",2006-01-10,58
133.109,2171221,"short and bloody history of ghosts",2006-01-10,32
133.93,1588727,"Earth Pleiadian keys to the living library",2006-01-10,42
133.5,2249344,"Mapping your romantic relationships discover your love potential",2006-01-10,36
133.8092,2031854,"Edgar Cayce the sleeping prophet",2006-01-10,40
133.1,2270493,"Ghosts among us true stories of spirit encounters",2006-01-10,131
133.532,2111672,"moon everyday living use lunar energies to transform your life",2006-01-10,13
133.43,1980716,"Natural magic potions and powers from the magical garden",2006-01-10,43
133.1,1692583,"Living with ghosts eleven extraordinary tales",2006-01-10,13
131,1335667,"Why me why this why now a guide to answering lifes toughest questions",2006-01-10,19
133.43,2176353,"Solitary witch the ultimate book of shadows for the new generation",2006-01-10,187
133.8,2045145,"outer limits of Edgar Cayces power",2006-01-10,21
133,1874545,"Only love is real",2006-01-10,24
133.3337,2040948,"healthy house book",2006-01-10,116
133.43,2205866,"witchs familiar spiritual partnerships for successful magic",2006-01-10,40
133.9,2150735,"Second chance healing messages from the afterlife",2006-01-11,27
131,2186206,"Chakra clearing",2006-01-11,263
133.3337,1941297,"Feng shui in 10 simple lessons",2006-01-11,49
133.43,2183396,"sorcerers crossing",2006-01-11,8
133.5,180063,"New age career cycles a planetary guide to the patterns of opportunity",2006-01-11,10
133.9013,1887113,"Light death one doctors fascinating account of near death experiences",2006-01-11,13
133.43092,2277572,"love spell an erotic memoir of spiritual awakening",2006-01-11,62
133.93,2319788,"Contacting your spirit guide",2006-01-11,200
133.43097,1979291,"Witchcraft in America",2006-01-11,23
133.3337,1799311,"Feng shui revealed an aesthetic practical approach to the ancient art of space alignment",2006-01-11,44
133.32424,1371836,"intuitive tarot a metaphysical approach to reading the tarot cards",2006-01-11,28
133.32424,2055417,"Keywords for the Crowley tarot",2006-01-11,42
133.58646,1980262,"Composite charts the astrology of relationships",2006-01-11,38
133.9013,1972806,"complete idiots guide to near death experiences",2006-01-11,44
133.59251,2312376,"Chinese astrology exploring the eastern zodiac",2006-01-11,107
133.532,2204295,"Lunar returns",2006-01-11,48
133.4309,2218545,"Magic and witchcraft from shamanism to the technopagans",2006-01-11,31
133.9013,541324,"Heart of the Christos starseeding from the Pleiades",2006-01-11,5
133.9013,1926466,"last laugh a new philosphy of near death experiences apparitions and the paranormal",2006-01-11,32
133.43,2030907,"heart of Wicca wise words from a crone on the path",2006-01-11,32
133.54,2204294,"Llewellyns new A to Z horoscope maker and interpreter",2006-01-11,60
133.8,2098183,"Edgar Cayce on intuition",2006-01-11,90
133.8092,1897898,"Uri Geller magician or mystic",2006-01-11,14
133.32424,2309774,"Kabbalistic tarot Hebraic wisdom in the major and minor arcana",2006-01-11,74
133.901,2136085,"book of reincarnation",2006-01-11,37
133,2139447,"Opening minds a journey of extraordinary encounters crop circles and resonance",2006-01-11,25
133.9,2040950,"vast enquiring soul explorations into the further reaches of consciousness",2006-01-11,14
133.9,2042788,"May the angels be with you a psychic helps you find your spirit guides and your true purpose",2006-01-11,21
133.3,2185628,"fortune telling handbook the interactive guide to tarot palm reading and more",2006-01-11,29
133.8,2293350,"Teleportation the impossible leap",2006-01-11,84
135.3,1297693,"art of dreaming",2006-01-11,182
133.3337,1976387,"Quick feng shui cures simple solutions and secret tips for a healthy happy and successful life",2006-01-11,57
133.43,2150088,"Spellcraft for teens a magickal guide to writing casting spells",2006-01-11,113
133.54,306974,"Horary astrology",2006-01-11,18
133.9,1842269,"Divine guidance how to have conversations with God and your guardian angels",2006-01-11,67
133.44,1854110,"Everyday magic spells rituals for modern living",2006-01-11,15
133.3337,1927105,"Taoist feng shui the ancient roots of the Chinese art of placement",2006-01-11,25
133.58646,2317303,"Linda Goodmans relationship signs",2006-01-12,115
131.32,31037,"new guide to rational living",2006-01-12,10
133.3248,2192976,"Oracle of Delphi secrets revealed",2006-01-12,23
133.43,2203815,"witchs coven finding or forming your own circle",2006-01-12,7
133.59251,2140151,"Children of the moon discover your child through Chinese horoscopes",2006-01-12,36
133.5,1996745,"Astrology for self empowerment techniques for reclaiming your sacred power",2006-01-12,28
133.3,2046569,"Lillian Toos Chinese wisdom spiritual magic for everyday living",2006-01-12,26
133,1955924,"magus or celestial intelligencer being a complete system of occult philosophy",2006-01-12,23
133.58158,636072,"Linda Goodmans love signs a new approach to the human heart",2006-01-12,100
133.8,2028564,"lost hall of records Edgar Cayces forgotten record of human history in the ancient Yucatan",2006-01-12,29
130,31040,"How to live with a neurotic at home and at work",2006-01-12,44
133.14,1607657,Poltergeists,2006-01-12,26
133.43,2187217,"Mastering candle magick advanced spells and charms for every rite",2006-01-12,33
133.59251,1750731,"Chinese horoscopes guide to relationships love and marriage friendship and business",2006-01-12,24
133.5,2080748,"Predictive astrology a practical guide",2006-01-12,16
133.8,1798588,"Tracks in the psychic wilderness an exploration of remote viewing ESP precognitive dreaming and synchronicity",2006-01-12,58
131,2080595,"hidden world of relationships",2006-01-12,15
133.43,1977649,"satanic witch",2006-01-12,7
133.59251,1924746,"Chinese book of animal powers",2006-01-12,86
131,1780006,"Chakras key to spiritual opening",2006-01-12,7
133.2548,1931305,"Crystal awareness",2006-01-12,4
133.44089,2186954,"good spell book love charms magical cures and other practical sorcery",2006-01-12,5
133.32424,2204301,"Tarot for the green witch",2006-01-12,74
133.58649,2033865,"Astrology your child a handbook for parents",2006-01-12,10
135.4,1880969,"Hidden wisdom a guide to the western inner traditions",2006-01-12,4
133.5,1826525,"Tu horÃ‚Â¢scopo para 1999 pronÃ‚Â¢sticos y previsiones mes a mes para cada signo del zodiaco",2006-01-12,1
133.91092,2289650,"Dont kiss them good bye",2006-01-12,113
133.333,1925716,"Lillian Toos easy to use feng shui 168 ways to success",2006-01-12,62
133.4309,2135911,"Spellbound from ancient gods to modern Merlins a time tour of myth and magic",2006-01-12,35
133.5,1615811,"Dynamic astrology using planetary cycles to make personal and career choices",2006-01-12,11
133.43089,2258449,"Druid power Celtic faerie craft elemental magic",2006-01-12,73
133.03,46313,"encyclopedia of the unexplained magic occultism and parapsychology",2006-01-12,12
133.53,2030908,"Retrograde planets traversing the inner landscape",2006-01-12,37
133.3092,2061543,"mil profecÃ‚Â¡as de Nostradamus",2006-01-12,15
133.43,2042791,"Exploring candle magick candle spells charms rituals and divinations",2006-01-12,17
133.59251,1965053,"handbook of Chinese horoscopes Theodora Lau calligraphy and illustrations by Kenneth Lau",2006-01-12,41
133.5,1935289,"Edgar Cayces astrology for the soul",2006-01-12,13
135.47,2209539,"wish can change your life how to use the ancient wisdom of Kabbalah to make your dreams come true",2006-01-12,15
133.44,2232377,"Amulets talismans for beginners how to choose make use magical objects",2006-01-12,98
133.32424,2001203,"Tarot companion an essential reference guide",2006-01-13,35
130,19143,"Psychology and alchemy",2006-01-13,22
133.53,2136096,"Ruling planets your astrological guide to lifes ups and downs",2006-01-13,53
133.43084,2113961,"old girls book of spells the real meaning of menopause sex car keys other important stuff",2006-01-13,31
133.5,1279552,"Astrology for beginners an easy guide to understanding and interpreting your chart",2006-01-13,32
133.93,1611391,"Angelspeake how to talk with your angels a guide",2006-01-13,5
133.335,1921845,"Do it yourself numerology how to unlock the secrets of your personality with numbers",2006-01-13,22
133.9,1953622,"Life on the other side a psychics tour of the afterlife",2006-01-13,95
133.54,1842834,"Lifeclock the Huber method of timing in the horoscope complete in one volume",2006-01-13,10
133.333,1393766,"Living color Master Lin Yuns guide to Feng shui and the art of color",2006-01-13,141
133.092,1696600,"magical diaries of Aleister Crowley Tunisia 1923",2006-01-13,54
